LatinName,FeastCode,EnglishName,Date
Tr. Christofori,17002000,Moving of Christopher's relics,
Additamenta,17001000,Added or Miscellaneous Items,
Ad Visit. Infirmum,16013000,Chants for the visiting of the sick,
Ad Missam,16012000,Mass chants appearing as a group,
In Dedic. Altaris,16011000,Commemoration of an Altar's Dedication,
Ad Aquam Benedictio,16010000,For the Blessing of Water,
Ad Processionem,16009000,For Processions,
Conductus,16008000,Conductus,
Hymni,16007000,Hymns,
Ad Completorium,16006000,For Compline,
Ad Nunc Dimittis,16005000,Antiphons for the Nunc Dimittis canticle,
Invitatoria,16004000,Invitatory Antiphons or Psalms,
Ad Magnificat,16003000,Antiphons for the Magnificat canticle,
Ad Benedictus,16002000,Antiphons for the Benedictus canticle,
Ad Benedicite,16001000,Antiphons for the Benedicite canticle,
Suff. Stephani,15122600,Memorial chants for Stephen,
Suff. Nicolai,15120600,Memorial chants for Nicholas,
Suff. Reliquiarum,15120400,Memorial chants for Relics,
Suff. Martini,15111100,Memorial chants for Martin of Tours,
Suff. Marcelli Par.,15110300,Memorial chants for Marcellus of Paris,
Suff. Om. Sanct. TP,15110180,"Memorial chants for All Saints, Eastertide",
Suff. Om. Sanct. Nat,15110130,"Memorial chants for All Saints, Christmas",
Suff. Om. Sanct. Adv,15110110,"Memorial chants for All Saints, Advent",
Suff. Om. Sanctorum,15110100,Memorial chants for All Saints,
Suff. Francisci,15100400,Memorial chants for Francis,
Suff. Michaelis,15092900,Memorial chants for Michael,
Suff. Justinae TP,15092680,"Memorial chants for Justina, Eastertide",
Suff. Justinae,15092600,Memorial chants for Justina,
Suff. Mauritii,15092200,Memorial chants for Maurice,
Suff. Lamberti,15091700,Memorial chants for Lambert,
Suff. Exalt. Crucis,15091400,Memorial chants for the Exaltation of the Cross,
Suff. Mariae TP,15081580,"Memorial chants for Mary, Eastertide",
Suff. Mariae Nat.,15081530,"Memorial chants for Mary, Christmas",
Suff. Mariae Adv.,15081510,"Memorial chants for Mary, Advent",
Recollectio Mariae,15081501,Recollection of Feasts of Mary,
Suff. Mariae,15081500,Memorial chants for Mary,
Suff. Laurentii,15081000,Memorial chants for Laurence,
Suff. Hermagorae,15071200,Memorial chants for Hermagoras,
Suff. Petri,15062910,Memorial chants for Peter,
"Suff. Petri, Pauli",15062900,Memorial chants for Peter and Paul,
Suff. Jo. Bapt. TP,15062480,"Memorial chants for John the Baptist, Eastertide",
Suff. Jo. Bapt. Nat.,15062430,"Memorial chants for John the Baptist, Christmas",
Suff. Jo. Bapt. Adv.,15062410,"Memorial chants for John the Baptist, Advent",
Suff. Joannis Bapt.,15062400,Memorial chants for John the Baptist,
Suff. Crucis TP,15050380,"Memorial chants for the Holy Cross, Eastertide",
Suff. Crucis,15050300,Memorial chants for the Holy Cross,
Suff. Benedicti,15032100,Memorial chants for Benedict,
Suff. David,15030100,Memorial chants for David,
"Suff. Oswaldi,Wulst.",15022800,"Memorial chants for Oswald, Wulfstan",
Suff. Walburgae,15022500,Memorial chants for Walburga,
Suff. Vedasti,15020600,Memorial chants for Vaast,
Suff. Agnetis,15012100,Memorial chants for Agnes,
Suff. Genovefae,15010300,Memorial chants for Genevieve,
Suff. Virginum,15010000,Memorial Chants for Virgins,
Officia votiva,15009000,Votive Offices,
De BMV post Purif.,15008200,"Votive Office for Mary, after Purification",
De BMV post Epiph.,15008150,"Votive Office for Mary, after Epiphany",
De BMV TP,15008080,"Votive Office for Mary, Eastertide",
De BMV Nat.,15008030,"Votive Office for Mary, Christmas",
De BMV Adv.,15008010,"Votive Office for Mary, Advent",
De BMV,15008000,Votive Office for Mary,
Suff. Martyrorum,15007000,Memorial Chants for Martyrs,
Suff. un. Mart. TP,15006080,"Memorial chants for one Martyr, Eastertide",
Suff. Confessorum,15005000,Memorial chants for Confessors,
Suff. Apostolorum,15004000,Memorial chants for Apostles,
Suff. pro Penitent.,15003000,Memorial chants for penitence,
Suff. pro Pace,15001000,Memorial chants for peace,
Ad Suffragium,15000000,Memorial chants,
Columbae,14123110,"Columba of Sens, Virgin Martyr",Dec.31
Silvestri,14123100,"Silvester I, Pope",Dec.31
Perpetui,14123010,"Perpetuus, Bishop of Tours",Dec.30
"Egwini,8",14123008,In week after Egwin,
Egwini,14123000,"Egwin, Bishop of Worcester",Dec.30
Trophimi,14122910,"Trophimus, Bishop of Arles",Dec.29
"Thomae Cant.,8",14122908,In week after Thomas Becket,
Thomae Cant.,14122900,"Thomas Becket, Bishop of Canterbury",Dec.29
"Gregorii, Mart.",14122400,"Gregory of Spoleto, Martyr",Dec.24
"Victoriae, Anatoliae",14122300,"Victoria and Anatolia, Virgin Martyrs",Dec.23
Thomae Apost.,14122100,"Thomas, Apostle",Dec.21
Gatiani,14121800,"Gatian, Bishop of Tours",Dec.18
Lazari,14121700,"Lazarus of Bethany, ""Bp."" Marseilles",Dec.17
Relatio Martini,14121410,Return of Martin's relics,Dec.14
Nicasii,14121400,"Nicasius, Bishop Martyr of Rheims",Dec.14
Eustratii et Soc.,14121350,"Eustratius et al, Martyrs",Dec.13
Odiliae,14121340,"Odilia (Ottilia), Abbess",Dec.13
Judoci,14121330,"Judoc, Prince and Hermit",Dec.13
Octava Nicolai,14121320,Octave of Nicholas,Dec.13
Auberti,14121310,"Aubert (Aubertus), Bishop of Cambrai",Dec.13
"Luciae,8",14121308,In week after Lucy,
Luciae,14121300,"Lucy (Lucia), Virgin Martyr",Dec.13
Valeriae,14121200,"Valeria of Limoges, Virgin Martyr",Dec.12
"Fusciani, Gentiani",14121110,"Fuscian and Gentian, Martyrs",Dec.11
Damasi,14121100,"Damasus, Pope",Dec.11
Gabrielis,14121000,Gabriel,Dec.10
Syri,14120900,Syrus,Dec.9
Conceptio Mariae,14120800,Immaculate Conception of Mary,Dec.8
Transl. Baboleni,14120720,Moving of Babolenus' relics,Dec.7
Octava Andreae,14120710,Octave of Andrew,Dec.7
Victoris,14120700,"Victor, Bishop of Piacenza",Dec.7
Octava Saturnini,14120610,Octave of Saturninus,Dec.6
"Nicolai,8",14120608,In week after Nicholas,
Nicolai,14120600,"Nicholas of Bari, Bishop of Myra",Dec.6
Sabae,14120500,"Sabas, Abbot",Dec.5
Suscept. Reliquiarum,14120410,"Feast of Relics (Notre Dame, Paris)",Dec.4
Barbarae,14120400,"Barbara, Virgin Martyr",Dec.4
Eligii,14120100,"Eligius (Eloi), Bishop of Noyon",Dec.1
"Andreae,8",14113008,In week after Andrew,
Andreae,14113000,"Andrew, Apostle",Nov.30
Vigilia Andreae,14112920,Eve of Andrew,Nov.29
"Chrysanthi, Dariae",14112910,"Chrysanthus, Daria, Maurus, Martyrs",Nov.29
Saturnini,14112900,"Saturninus, Martyr Bishop of Toulouse",Nov.29
Conradi,14112620,"Conrad, Bishop of Constance",Nov.26
Mirac. Genovefae,14112610,Commemoration of Genevieve's Miracle,Nov.26
Lini,14112600,"Linus, Bishop of Rome",Nov.26
Catharinae,14112500,"Catherine of Alexandria, Martyr",Nov.25
Severini,14112410,"Severinus, Monk, Teacher of St. Cloud",Nov.24
Chrysogoni,14112400,"Chrysogonus, Martyr",Nov.24
Columbani,14112330,"Columbanus (Columban), Abbot",Nov.23
Trudonis,14112320,Trudo (Trond),Nov.23
Felicitatis,14112310,"Felicitatis, Matron and Martyr",Nov.23
"Clementis,8",14112308,In week after Clement,
Clementis,14112300,"Clement I, Pope and Martyr",Nov.23
"Caeciliae,8",14112208,In week after Cecilia,
Caeciliae,14112200,"Cecilia (Cecily), Virgin Martyr",Nov.22
Praesentatio Mariae,14112100,Presentation of Mary,Nov.21
Edmundi,14112000,"Edmund, King and Martyr",Nov.20
"Elisabeth Hung.,8",14111908,In week after Elizabeth of Hungary,
Elisabeth Hung.,14111900,"Elizabeth of Hungary, Widow",Nov.19
Dedic. Bas. S. Petri,14111820,"Dedication of Saint Peter's, Rome",Nov.18
Romani Antiochiae,14111810,"Romanus of Antioch, Martyr",Nov.18
Octava Martini,14111800,Octave of Martin,Nov.18
Aniani,14111710,"Anianus (Aignan), Bishop of Orleans",Nov.17
Gregorii Thauma.,14111700,"Gregory the Wonderworker, Bishop",Nov.17
Othmari,14111600,"Othmar (Audemar), Abbot",Nov.16
Leopoldi,14111520,"Leopold, Prince of Austria",Nov.15
Machuti,14111510,"Maclovius (Malo), Bishop of Aleth",Nov.15
Eugenii,14111500,"Eugene, Martyr, Disciple of Denis",Nov.15
Genulfi,14111330,"Genulf (Gendulf, Genou), ""Bishop""",Nov.13
Maxellendis,14111320,"Maxellendis, Virgin Martyr",Nov.13
Inventio Antonini,14111310,Finding of Antoninus's relics,Nov.13
Bricii,14111300,"Brice, Bishop of Tours",Nov.13
Lebuini,14111200,"Lebwin (Lebuin, Liafwin, Leafwine), Confessor",Nov.12
Mennae,14111110,"Mennas, Martyr",Nov.11
"Martini,8",14111108,In week after Martin,
Dom. p. Martini,14111107,Sunday after Martin,
Martini,14111100,"Martin, Bishop of Tours",Nov.11
Oct. Marcel. Paris.,14111000,"Octave of Marcellus, Bishop of Paris",Nov.10
Dedic. S. Salvatoris,14110940,Dedication of Saint Saviour's,Nov.9
Maturini,14110930,"Maturin, Priest of Larchant (Sens)",Nov.9
Vitoni,14110920,"Vitonus (Vanne), Bishop of Verdun",Nov.9
Theodori Tiro,14110910,"Theodore Tiro, Martyr",Nov.9
De Imagine Domini,14110900,The Icon of our Lord Saviour,Nov.9
Oct. Om. Sanctorum,14110810,Octave of All Saints' Day,Nov.8
Quat. Coronatorum,14110800,"The Four Crowned Ones, Martyrs",Nov.8
Willibrordi,14110700,"Willibrord, Bishop of Utrecht",Nov.7
Leonardi,14110610,"Leonard, Hermit",Nov.6
Vinoci,14110600,"Winnoc (Vinocus), Abbot",Nov.6
Wenaili,14110320,"Guenael, Abbot of Landevennec",Nov.3
"Marcelli Parisien.,8",14110318,In week after Marcellus of Paris,
Marcelli Parisiensis,14110310,"Marcellus, Bishop of Paris",Nov.3
Pirmini,14110300,"Pirminus, Abbot and Bishop",Nov.3
Eustachii,14110200,"Eustachius (Eustace), Martyr",Nov.2
Benigni,14110140,"Benignus of Dijon, Martyr",Nov.1
"Caesarii, Juliani",14110130,"Caesarius and Julian, Martyrs",Nov.1
Vigoris,14110120,"Vigor, Bishop of Bayeux",Nov.1
Ulgani,14110110,"Vulgan, Hermit",Nov.1
"Omnium Sanctorum,8",14110108,In week after All Saints' Day,
Dom.p.Om.Sanctorum,14110107,Sunday after All Saints' Day,
Omnium Sanctorum,14110100,All Saints' Day,Nov.1
Wolfgangi,14103130,"Wolfgangus, Bishop of Regensburg",Oct.31
Vig. Om. Sanctorum,14103120,Eve of All Saints' Day,Oct.31
Foliani,14103110,"Foillan (Folianus), Abbot",Oct.31
Quintini,14103100,"Quintinus (Quentin), Martyr",Oct.31
Lucani,14103000,"Lucanus of Gascony, Martyr",Oct.30
Narcissi,14102900,"Narcissus, Bishop of Jerusalem",Oct.29
"Simonis, Judae",14102800,"Simon, Jude (Thaddeus), Apostles",Oct.28
Ordinatio Amandi,14102600,Ordination of Amandus (Amand),Oct.26
Lupi Bajocensis,14102520,"Lupus, Bishop of Bayeux",Oct.25
Miniatis,14102510,"Minias, Martyr",Oct.25
"Crispini,Crispiniani",14102500,"Crispin and Crispinian, Martyrs",Oct.25
Maglorii,14102400,"Magloire (Maelor), Bishop of Dol",Oct.24
"Severini, Epi.",14102300,"Severinus, Confessor & Bishop of Cologne",Oct.23
Hilarionis,14102120,"Hilarion, Abbot",Oct.21
Ursulae,14102110,"Ursula, Virgin Martyr",Oct.21
XI milium Virginum,14102100,"11,000 Virgin Martyrs of Cologne",Oct.21
Petri Alcantarae,14101920,"Peter of Alcantara, Founder",Oct.19
Januarii,14101910,Januarius,Oct.19
Amati,14101900,"Amatus, Bishop of Sens",Oct.19
Herblandi,14101820,"Hermeland, Abbot of Aindre (Nantes)",Oct.18
Justi,14101810,"Justus of Beauvais, Martyr",Oct.18
"Lucae,8",14101808,In week after Luke,
Lucae,14101800,"Luke, Evangelist",Oct.18
Hedwigis,14101640,"Hedwig, Matron and Duchess of Silesia",Oct.16
Ded.Mont.S.Michaelis,14101630,Dedication of Mont-Saint-Michel,Oct.16
Luciani et Soc.,14101620,"Lucianus and Companions, Martyrs",Oct.16
Octava Dionysii,14101610,"Octave of Denis, Bishop of Paris",Oct.16
Galli,14101600,"Gall, Hermit",Oct.16
Callisti,14101400,"Callistus (Calixtus) I, Pope",Oct.14
Simperti,14101350,"Simpert (Sintbert), Abbot of Murbach and Bishop of Augsburg",Oct.13
"Dedic. S.Salv., Mar.",14101340,"Dedication of the Church of the Holy Saviour, St. Martial (Limoges)",Oct.13
Transl. Edwardi,14101330,Moving of Edward's relics,Oct.13
Colomanni,14101320,"Coloman, Martyr",Oct.13
Donatiani,14101310,"Donatianus, Bishop of Reims",Oct.13
Geraldi,14101300,Gerald of Aurillac,Oct.13
Wilfridi,14101230,"Wilfrid, Archbishop of York",Oct.12
Maximiliani,14101220,"Maximilian, Bishop of Lorch",Oct.12
Octava Tr. Vedasti,14101210,Octave of Vaast's Translation,Oct.12
Opilii,14101200,"Opilius, Deacon",Oct.12
Nicasii et Soc.,14101130,"Nicasius of Rouen, alleged Bishop of Rouen",Oct.11
Transl. Augustini,14101120,Moving of Augustine's relics,Oct.11
"Probi, Tarachi",14101110,"Probus and Tarachus, Martyrs",Oct.11
Venantii,14101100,"Venantius, Hermit",Oct.11
"Paulini Ebor.,8",14101018,In week after Paulinus of York,
Paulini Ebor.,14101010,"Paulinus, Archbishop of York",Oct.10
Gereonis et Soc.,14101000,"Gereon and Companions, Martyrs",Oct.10
Patriarcharum,14100930,"Abraham, Isaac and Jacob",Oct.9
Richarii,14100920,"Richarius (Riquier), Abbot",Oct.9
Gisleni,14100910,"Gislenus (Ghislain), Abbot",Oct.9
"Dionysii,8",14100908,"In week after Denis, Bishop of Paris",
Dionysii,14100900,"Denis (Dionysius), Bishop of Paris",Oct.9
"Transl. Oswaldi,8",14100838,In week after Oswald's Translation,
Transl. Oswaldi,14100830,Moving of Oswald's relics,Oct.8
"Sergii, Bacchi",14100820,"Sergius and Bacchus, Martyrs",Oct.8
Benedictae,14100810,"Benedicta, Virgin Martyr",Oct.8
Ragenfredis,14100800,"Ragenfredis, Cannoness",Oct.8
Transl. Wolfgangi,14100720,Moving of Wolfgang's relics,Oct.7
"Marcelli, Apuleii",14100710,"Marcellus and Apulejus, Martyrs",Oct.7
"Marci, Pont.",14100700,"Mark, Pope",Oct.7
Fidis,14100600,"Faith, Virgin Martyr",Oct.6
"Transl. Vedasti,8",14100508,In week after Vaast's Translation,
Dom. p. Tr. Vedasti,14100507,Sunday after Vaast's Translation,
Transl. Vedasti,14100500,Moving of Vaast's relics,Oct.5
Aureae,14100410,"Aurea, Abbess in Paris",Oct.4
"Francisci,8",14100408,In week after Francis of Assisi,
Francisci,14100400,Francis of Assisi,Oct.4
"Oct. Justinae, Cypr.",14100300,Octave of Justina and Cyprian,Oct.3
Sereni,14100210,"Serenus, Confessor",Oct.2
Leodegarii,14100200,"Leodegarius (Leger), Bishop Martyr",Oct.2
Melori,14100120,"Melorus (Melar, Mylor), Martyr",Oct.1
"Germani, Vedasti",14100110,"Germanus and Vedastus, Martyrs",Oct.1
Remigii,14100100,"Remigius (Remi), Bishop of Rheims",Oct.1
"Hieronimi,8",14093008,In week after Jerome,
Hieronimi,14093000,"Jerome, Doctor",Sep.30
Michaelis,14092900,Michael the Archangel (Michaelmas),Sep.29
Wenceslai,14092800,"Wenceslaus of Bohemia, Martyr",Sep.28
"Cosmae, Damiani",14092700,"Cosmas and Damian, Martyrs",Sep.27
"Justinae, Cypriani,8",14092608,In week after Justina and Cyprian,
"Justinae, Cypriani",14092600,"Justina and Cyprian, Martyrs",Sep.26
Cleophae,14092510,"Cleophas, father of James the Less",Sep.25
"Firmini,8",14092508,In week after Firminus,
Firmini,14092500,"Firminus, Bishop Martyr",Sep.25
Ruperti,14092420,"Rupert (Rubert), Bishop",Sep.24
Octava Lamberti,14092410,Octave of Lambert,Sep.24
Elevat. Gaugerici,14092400,Elevation of Gaugericus's relics,Sep.24
Theclae,14092300,"Thecla of Iconium, Virgin Martyr",Sep.23
Emmerami,14092210,"Emmeramus, Bishop",Sep.22
Mauritii,14092200,"Maurice and Companions, Martyrs",Sep.22
"Matthaei,8",14092108,In week after Matthew,
Matthaei,14092100,"Matthew, Apostle and Evangelist",Sep.21
Elevatio Amandi,14092000,Elevation of Amand's relics,Sep.20
Quattuor Virginum,14091920,"Euphemia, Dorothea, Thecla, & Erasma, Virgin Martyrs",Sep.19
Materni,14091910,"Maternus, Bishop of Cologne",Sep.19
Januarii et Soc.,14091900,"Januarius and Companions, Martyrs",Sep.19
Stig. Francisci,14091710,The Stigmata of Francis,Sep.17
"Lamberti,8",14091708,In week after Lambert,
Lamberti,14091700,"Lambert, Bishop of Maestricht",Sep.17
"Luciae, Germiniani",14091620,"Lucy and Germinianus, Martyrs",Sep.16
Euphemiae,14091610,"Euphemia, Virgin and Martyr",Sep.16
"Cornelii, Cypriani",14091600,"Cornelius and Cyprian, Martyrs",Sep.16
"Nicomedis, Valeriani",14091540,"Nicomedes and Valerianus, Martyrs",Sep.15
Nicomedis,14091530,"Nicomedes, Martyr",Sep.15
Aichardi,14091520,"Aichardus (Achard, Aichadrus, Aycadrius), Abbot",Sep.15
Octava Nat. Mariae,14091510,Octave of Birthday of Mary,Sep.15
"Reliquiarum,8",14091508,In week after Feast of Relics,
Reliquiarum,14091500,Feast of Relics,Sep.15
"Exalt. Crucis,8",14091408,In week after Holy Cross Day,
Exaltatio Crucis,14091400,Holy Cross Day (Exaltation of the Cross),Sep.14
Maurilii,14091300,"Maurilius, Bishop of Angers",Sep.13
"Felicis, Regulae",14091110,"Felix and Regula, Martyrs",Sep.11
"Proti, Hiacinthi",14091100,"Protus and Hyacinth, Martyrs",Sep.11
Adriani,14091000,"Adrian, Martyr",Sep.10
Audomari,14090920,"Audomarus (Omer), Bishop",Sep.9
Tr. Kunegundis,14090910,Moving of Cunegund's relics,Sep.9
Gorgonii,14090900,"Gorgonius, Martyr",Sep.9
Corbiniani,14090820,"Corbinianus, Abbot and Bishop",Sep.8
Transl. Egwini,14090810,Moving of Egwin's relics,Sep.8
"Nativitas Mariae,8",14090808,In week after Birthday of Mary,
Dom. p. Nat. Mariae,14090807,Sunday after Birthday of Mary,
Nativitas Mariae,14090800,Birthday of Mary,Sep.8
Chlodoaldi,14090720,"Chlodoaldus (Cloud), Frankish prince",Sep.7
Vigilia Nat. Mariae,14090710,Eve of Birthday of Mary,Sep.7
Evurtii,14090700,"Evurtius (Euvert), Bishop",Sep.7
Magni,14090610,"Magnus, ""Apostle"" of Bavaria",Sep.6
Humberti,14090600,"Humbert, Abbot and Bishop",Sep.6
Marcelli,14090420,"Marcellus, Martyr",Sep.4
Transl. Cuthberti,14090410,Moving of Cuthbert's relics,Sep.4
Octava Augustini,14090400,Octave of Augustine,Sep.4
"Ordin. Gregorii,8",14090318,In week after Gregory's Ordination,
Ordin. Gregorii,14090310,Ordination of Gregory,Sep.3
Remacli,14090300,"Remaclus, Bishop",Sep.3
Antonini,14090200,"Antoninus, Martyr",Sep.2
Justi,14090150,"Justus, Bishop of Lyons",Sep.1
Duodecim Fratrum,14090140,"Twelve Brothers, Martyrs",Sep.1
Verenae,14090130,"Verena, Virgin",Sep.1
Prisci,14090120,"Priscus, Bishop of Capua",Sep.1
Lupi,14090110,"Lupus (Leu), Bishop of Sens",Sep.1
Aegidii,14090100,"Aegidius (Giles), Abbot",Sep.1
Cuthburgae,14083120,"Cuthberga, First Abbess of Wimborne",Aug.31
Paulini,14083110,"Paulinus, Bishop of Trier",Aug.31
Transl. Hadulfi,14083100,Moving of Hadulf's relics,Aug.31
"Felicis, Adaucti",14083000,"Felix and Adauctus, Martyrs",Aug.30
Mederici,14082920,"Medericus (Merry), Abbot",Aug.29
Sabinae,14082910,"Sabina, Martyr",Aug.29
Decoll. Jo. Bapt.,14082900,Beheading of John the Baptist,Aug.29
"Juliani, Hermetis",14082860,"Julian of Brioude and Hermes, Martyrs",Aug.28
Balbinae,14082850,"Balbina, Virgin Martyr",Aug.28
Pelagii,14082840,"Pelagius, Martyr",Aug.28
Hermetis,14082830,"Hermes, Martyr",Aug.28
Rufi,14082820,"Rufus, Bishop",Aug.28
Juliani,14082810,"Julian of Brioude, Martyr",Aug.28
"Augustini,8",14082808,In week after Augustine,
Augustini,14082800,"Augustine, Bishop and Doctor",Aug.28
Genesii,14082530,"Genesius, Martyr",Aug.25
Octava Agapiti,14082520,Octave of Agapitus,Aug.25
Hunegundis,14082510,"Hunegundis, Abbess",Aug.25
Ludovici,14082500,"Louis IX, King of France",Aug.25
Audoeni,14082410,"Audoenus (Ouen), Bishop of Rouen",Aug.24
Bartholomaei,14082400,"Bartholomew, Apostle",Aug.24
"Timothei,Apollinaris",14082300,"Timothy and Apollinaris, Martyrs",Aug.23
Octava Assumptionis,14082210,Octave of Assumption of Mary,Aug.22
Symphoriani,14082200,"Symphorian (and Timothy), Martyrs",Aug.22
Die 7 p. Assump.,14082100,Sixth day after Assumption of Mary,Aug.21
Die 6 p. Assump.,14082020,Fifth day after Assumption of Mary,Aug.20
"Bernardi,8",14082018,In week after Bernard,
Bernardi,14082010,"Bernard, Abbot and Doctor",Aug.20
Philiberti,14082000,"Philibert, Abbot",Aug.20
Die 5 p. Assump.,14081910,Fourth day after Assumption of Mary,Aug.19
Ludovici Toul.,14081900,"Louis, Bishop of Toulouse",Aug.19
Die 4 p. Assump.,14081820,Third day after Assumption of Mary,Aug.18
Octava Gaugerici,14081810,Octave of Gaugericus,Aug.18
"Agapiti,8",14081808,In week after Agapitus,
Agapiti,14081800,"Agapitus, Martyr",Aug.18
Die 3 p. Assump.,14081720,Second day after Assumption of Mary,Aug.17
Transl. Justinae,14081710,Moving of Justina's relics,Aug.17
Octava Laurentii,14081700,Octave of Laurence,Aug.17
Die 2 p. Assump.,14081620,First day after Assumption of Mary,Aug.16
Gemmae,14081610,"Gemma, Virgin",Aug.16
Arnulfi,14081600,"Arnulf, Bishop of Metz",Aug.16
"Assumptio Mariae,8",14081508,In week after Assumption of Mary,
Dom. p. Assumptionem,14081507,Sunday after Assumption of Mary,
Assumptio Mariae,14081500,Assumption of Mary,Aug.15
Vig. Assump. Mariae,14081410,Eve of Assumption of Mary,Aug.14
Eusebii,14081400,Eusebius of Rome,Aug.14
Radegundis,14081310,"Radegund, Matron",Aug.13
Hippolyti,14081300,"Hippolytus, Martyr",Aug.13
Octava Afrae,14081220,Octave of Afra,Aug.12
"Eupli, Leucii",14081210,"Euplus, Deacon Martyr; and Leucius, Bishop Confessor",Aug.12
Clarae,14081200,"Clare of Assisi, Foundress",Aug.12
